"date","time","exercise","equipment","weight","repetitions","notes"
"2020-09-14","17:30:36","deadlift","dumbbell, pair",80,12,""
"2020-09-14","17:28:23","deadlift","dumbbell, pair",80,10,""
"2020-09-14","17:26:55","deadlift","dumbbell, pair",80,10,""
"2020-09-14","17:23:52","deadlift","dumbbell, pair",80,8,""
"2020-09-14","17:21:06","deadlift","dumbbell, pair",80,8,""
"2020-09-14","17:19:47","rows, upright","dumbbell, pair",40,16,"cheating movements"
"2020-09-14","17:17:42","rows, upright","dumbbell, pair",40,16,"cheating movements"
"2020-09-14","17:16:02","rows, upright","dumbbell, pair",40,12,""
"2020-09-14","17:14:45","rows, upright","dumbbell, pair",30,20,""
"2020-09-14","17:11:52","rows, upright","dumbbell, pair",30,15,""
"2020-09-14","17:09:51","rows, upright","dumbbell, pair",30,15,""
"2020-09-14","17:07:50","rows, upright","dumbbell, pair",30,12,"warm up"
"2020-09-14","17:04:47","rows, right arm","dumbbell, single",40,8,""
"2020-09-14","17:04:44","rows, left arm","dumbbell, single",40,8,""
"2020-09-14","17:03:29","rows, right arm","dumbbell, single",40,10,""
"2020-09-14","17:03:26","rows, left arm","dumbbell, single",40,10,""
"2020-09-14","17:01:02","rows, right arm","dumbbell, single",40,8,""
"2020-09-14","17:00:59","rows, left arm","dumbbell, single",40,8,""
"2020-09-14","16:58:56","rows, right arm","dumbbell, single",40,8,""
"2020-09-14","16:58:53","rows, left arm","dumbbell, single",40,8,""
"2020-09-14","16:57:18","rows, right arm","dumbbell, single",40,6,""
"2020-09-14","16:57:15","rows, left arm","dumbbell, single",40,6,""
"2020-09-14","16:55:34","rows, right arm","dumbbell, single",40,6,""
"2020-09-14","16:55:30","rows, left arm","dumbbell, single",40,6,""
"2020-09-14","16:54:06","hammer curl","dumbbell, pair",40,20,"rep/2 on each arm, alternating"
"2020-09-14","16:52:37","hammer curl","dumbbell, pair",40,20,"rep/2 on each arm, alternating"
"2020-09-14","16:50:06","hammer curl","dumbbell, pair",40,16,"rep/2 on each arm, alternating"
"2020-09-14","16:47:14","hammer curl","dumbbell, pair",40,14,"rep/2 on each arm, alternating"
"2020-09-14","16:45:29","hammer curl","dumbbell, pair",40,14,"rep/2 on each arm, alternating"
"2020-09-14","16:43:33","hammer curl","dumbbell, pair",30,20,"10 on each arm, alternating"
"2020-09-14","16:41:34","bicep curl","dumbbell, pair",40,13,"amrap"
"2020-09-14","16:39:18","bicep curl","dumbbell, pair",40,12,"cheating movements"
"2020-09-14","16:37:33","bicep curl","dumbbell, pair",40,10,""
"2020-09-14","16:36:21","bicep curl","dumbbell, pair",40,10,""
"2020-09-14","16:34:33","bicep curl","dumbbell, pair",40,8,""
"2020-09-14","16:32:47","bicep curl","dumbbell, pair",40,8,""
"2020-09-14","16:30:40","bicep curl","dumbbell, pair",40,7,""
"2020-09-14","16:29:34","bicep curl","dumbbell, pair",30,15,"warm up"
"2020-09-14","16:28:11","bicep curl","dumbbell, pair",30,15,"warm up"
"2020-09-14","16:25:14","session start",NA,NA,NA,NA
